0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
733,733,733,733,733,733,733,733,733,733,0,733,733,601,491,402,532,577,394,298,269,344,44,733,76,187,116,733,61,733,733,9,69,733,733,195,469,733,369,733,211,733,299,733,733,357,733,265,733,373,733,426,733,588,622,733,733,435,733,686,710,733,504,733,733,3
733,733,733,733,733,733,733,733,733,733,733,0,733,548,431,319,493,528,311,212,191,260,18,76,733,27,1,733,733,6,59,733,35,733,733,123,399,733,287,733,137,733,218,733,733,276,733,183,733,295,733,346,733,533,572,733,733,351,733,670,689,733,279,733,733,86
733,733,733,733,733,733,733,733,733,733,733,733,0,634,518,455,573,618,447,354,333,408,74,186,27,733,733,24,733,56,149,733,103,733,733,258,503,733,430,733,272,733,359,733,733,421,733,325,733,433,733,475,733,623,653,733,733,482,733,701,716,733,192,733,733,206
733,733,733,733,733,733,733,733,733,733,733,733,733,0,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733
733,733,733,733,733,733,733,733,733,733,733,733,733,733,0,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733
733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,0,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733
733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,0,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733
733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,0,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733
733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,0,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733
733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,0,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733
